1754,2693,1
3068,3510,2
4920,5302,3
6459,6848,4
7255,7450,6
7705,8133,7
11410,12373,8
15380,16100,10+11
90685,90917,13
92140,92570,14
93445,93720,16
103092,103808,17
115843,116101,19
116143,116540,20
117000,117720,21
132918,133380,22
142954,143650,23
172268,172588,24
172910,173521,25
198296,199740,26
227828,263727,27+28
279120,279240,29
280060,281230,30
302653,303019,31
347679,348279,32
361191,361634,33
371479,371579,34
371855,372335,35
389680,390219,36
436541,437009,37
437417,437697,38
438147,438547,39
438621,438917,40
443501,445175,41
